DATE,GDP_NBD19970101,ECIALLCIV_NBD20010101
2000-01-01,119.60530,.
2000-04-01,122.54147,.
2000-07-01,123.38384,.
2000-10-01,124.78984,.
2001-01-01,125.20224,100.00000
2001-04-01,126.74205,100.94451
2001-07-01,126.73033,102.00708
2001-10-01,127.47704,102.95159
2002-01-01,128.94828,103.77804
2002-04-01,130.19143,104.84061
2002-07-01,131.34632,105.66706
2002-10-01,132.27178,106.37544
2003-01-01,133.61939,107.67414
2003-04-01,135.27721,108.61865
2003-07-01,138.31336,109.68123
2003-10-01,140.77149,110.50767
2004-01-01,142.57968,111.68831
2004-04-01,144.84413,112.75089
2004-07-01,147.14594,113.81346
2004-10-01,149.79948,114.63991
2005-01-01,152.67025,115.70248
2005-04-01,154.52815,116.41086
2005-07-01,157.15873,117.23731
2005-10-01,159.32983,118.18182
2006-01-01,162.61773,118.89020
2006-04-01,164.46241,119.95277
2006-07-01,165.85867,121.13341
2006-10-01,167.88400,122.07792
2007-01-01,169.98969,123.02243
2007-04-01,172.21901,124.08501
2007-07-01,174.15662,125.02952
2007-10-01,175.96156,126.09209
2008-01-01,175.85968,127.03660
2008-04-01,177.76294,127.86305
2008-07-01,178.16111,128.80756
2008-10-01,174.68387,129.39787
2009-01-01,172.56364,129.75207
2009-04-01,171.96974,130.10626
2009-07-01,172.77865,130.69658
2009-10-01,175.19853,131.16883
2010-01-01,176.55410,131.99528
2010-04-01,179.13202,132.58560
2010-07-01,181.06220,133.17591
2010-10-01,183.06954,133.76623
2011-01-01,183.57146,134.59268
2011-04-01,186.03588,135.41913
2011-07-01,187.11378,135.89138
2011-10-01,189.44054,136.48170
2012-01-01,192.14956,137.30815
2012-04-01,193.80346,137.89847
2012-07-01,195.14784,138.48878
2012-10-01,196.35414,139.07910
2013-01-01,199.07779,139.78749
2013-04-01,200.04038,140.49587
2013-07-01,202.73272,141.08619
2013-10-01,205.58087,141.79457
2014-01-01,205.64926,142.26682
2014-04-01,209.48500,143.32940
2014-07-01,212.90162,144.27391
2014-10-01,214.19129,144.98229
2015-01-01,216.00232,145.92680
2015-04-01,218.58828,146.16293
2015-07-01,220.04526,147.10744
2015-10-01,220.44598,147.93388
2016-01-01,221.53171,148.76033
2016-04-01,223.75313,149.58678
2016-07-01,225.91676,150.41322
2016-10-01,228.26936,151.23967
2017-01-01,230.54980,152.18418
2017-04-01,232.44583,153.12869
2017-07-01,235.48257,154.19126
2017-10-01,239.60199,155.13577
2018-01-01,243.08731,156.31641
2018-04-01,246.10500,157.37898
2018-07-01,248.70965,158.55962
2018-10-01,250.13428,159.74026
2019-01-01,252.36164,160.68477
2019-04-01,255.71753,161.74734
2019-07-01,259.41859,162.92798
2019-10-01,261.90713,163.99055
2020-01-01,259.56485,165.28926
2020-04-01,238.11987,166.11570
2020-07-01,258.86085,166.82409
2020-10-01,263.36734,168.24085
2021-01-01,270.25131,169.65762
2021-04-01,278.52831,170.83825
2021-07-01,284.94507,172.96340
2021-10-01,294.81789,174.85242
2022-01-01,299.29629,177.21370
2022-04-01,305.45650,179.57497
2022-07-01,310.84194,181.70012
2022-10-01,315.78972,183.70720
2023-01-01,320.63503,185.83235
2023-04-01,323.61746,187.72137
2023-07-01,330.15984,189.61039
2023-10-01,334.30768,191.38135
2024-01-01,338.04066,193.62456
